"","unharvested","regeneration","removal","NH","RNH"
"CWD_vol_mean",31.9695401638855,67.9016588066192,86.1220958366967,65.7544035396817,40.9192735713617
"CWD_vol_SE",4.33769563666916,18.5899591604605,9.71257867888104,8.05164493111651,7.1051141906116
"CWD_biomass_mean",9.17412619632212,21.3835105079872,32.4383228332307,23.0691614354381,13.4677819774169
"CWD_biomass_SE",1.36768480458671,5.46512097107346,3.89425864692755,3.25201208915461,2.57845612067708
"snag_BA_mean",11.9083881305084,21.8488197017054,14.2046791472285,16.5229918438318,7.64685530832593
"snag_BA_SE",1.57997357062676,7.1687420160882,3.61682147082733,2.44231592122192,1.23483530003892
"snag_vol_mean",68.0912415704515,112.394774893197,80.1377932843921,93.9641022087695,39.8083798610226
"snag_vol_SE",11.1955232612995,41.3945200063755,27.9536574151023,18.505722850912,5.68340954097719
"snag_biomass_mean",26.0607304040217,45.9190515337482,31.6645732621369,36.9083297404322,15.3200675036196
"snag_biomass_SE",4.38298072894904,20.1397292222043,10.8125182031099,7.33089877807912,1.90006123236551
"TPH_mean",583.352272727273,317.261904761905,285.808270676692,388.905529953917,534.077380952381
"TPH_SE",28.8327421198939,80.6355406722193,21.6188158161155,34.9192687712895,36.8531455843344
"QMD_mean",27.8060350835751,30.8153312978776,28.7493433741783,29.2400267331378,26.7707708865914
"QMD_SE",0.799606152718726,3.5269571746463,0.569810800153693,0.662658314634945,0.817747256047238
